ID,Scene,Exact Scene,Character,Situation Name,Text,Emotion,Trigger
MENU-0257,Interaction,Easter Egg D_&_B,The Librarian,CHATS-44,...,Smirk,
MENU-0258,Interaction,Interact with locked Desivinte Book II,The Librarian,DESIV-06,"You know, I think it's better if you read the first part...",Sighing,
MENU-0259,Interaction,Interact with locked Desivinte Book II,The Librarian,DESIV-06,"well, first. (Duuhhh)",Annoyed,
MENU-0260,Interaction,Interact with locked Kath Jules Book I,The Librarian,KATHJ-08,I think you aren't ready for that one yet.,Serious,
MENU-0261,Interaction,Interact with locked Kath Jules Book I,The Librarian,KATHJ-08,"Why? Well, just because!",Laughing,
MENU-0262,Interaction,Interact with locked Kath Jules Book I,The Librarian,KATHJ-08,"No but seriously, you'll enjoy this one better if you know a bit of background info first.",Serious,
MENU-0263,Interaction,Interact with locked Kath Jules Book II,The Librarian,KATHJ-09,Do you really want to read this part already?,Shocked,
MENU-0264,Interaction,Interact with locked Kath Jules Book II,The Librarian,KATHJ-09,Don't you want to wait a little bit more?,Thoughtful,
MENU-0265,Interaction,Interact with locked Hetheline Book I,The Librarian,HETHE-09,"Trust me, I love this story as much as you'll get to love it.",Happy,
MENU-0266,Interaction,Interact with locked Hetheline Book I,The Librarian,HETHE-09,"Just, wait a bit more.",Serious,
MENU-0267,Interaction,Interact with locked Hetheline Book I,The Librarian,HETHE-09,Okay?,Serious,
MENU-0268,Interaction,Interact with locked Hetheline Book II,The Librarian,HETHE-10,This one's my favorite.,Happy,
MENU-0269,Interaction,Interact with locked Hetheline Book II,The Librarian,HETHE-10,But I don't think you're ready to read the final book on this shelf.,Serious,
MENU-0270,Interaction,Repetitive touch with locked books,The Librarian,INTER-24,Need I say more?,Irritated,
MENU-0271,Interaction,Repetitive touch with locked books,The Librarian,INTER-24,Really?,Irritated,
MENU-0272,Interaction,Repetitive touch with locked books,The Librarian,INTER-24,Didn't you hear me already?,Irritated,
